id,prestamo_id,fecha_efectiva,fecha_proceso,ordinal_interno,numero_operacion,concepto_id,fecha_vencimiento,tasa,monto_transaccion,abono_capital,intrs_ctes,seguro,fee,usuario,numero_cuota,estado
478,90037,2025-11-02,2025-11-02,0,0,DES,2026-09-02,10.0000,940333.00,0.00,0.00,0.00,0.00,admin25+,0,TRANSACCION 
479,90037,2025-11-02,2025-11-27,0,0,PLANCAP,2025-11-02,0.0000,188067.00,0.00,0.00,0.00,0.00,admin25+,1,PENDIENTE
480,90037,2025-11-02,2025-11-27,0,1,PLANCAP,2025-12-02,0.0000,80837.48,0.00,0.00,0.00,0.00,admin25+,2,PENDIENTE
481,90037,2025-11-02,2025-11-27,0,2,PLANINT,2025-12-02,0.0000,6268.88,0.00,0.00,0.00,0.00,admin25+,2,PENDIENTE
482,90037,2025-11-02,2025-11-27,0,3,PLANSEG,2025-12-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,2,PENDIENTE
483,90037,2025-11-02,2025-11-27,0,4,PLANCAP,2026-01-02,0.0000,81511.12,0.00,0.00,0.00,0.00,admin25+,3,PENDIENTE
484,90037,2025-11-02,2025-11-27,0,5,PLANINT,2026-01-02,0.0000,5595.24,0.00,0.00,0.00,0.00,admin25+,3,PENDIENTE
485,90037,2025-11-02,2025-11-27,0,6,PLANSEG,2026-01-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,3,PENDIENTE
486,90037,2025-11-02,2025-11-27,0,7,PLANCAP,2026-02-02,0.0000,82190.38,0.00,0.00,0.00,0.00,admin25+,4,PENDIENTE
487,90037,2025-11-02,2025-11-27,0,8,PLANINT,2026-02-02,0.0000,4915.98,0.00,0.00,0.00,0.00,admin25+,4,PENDIENTE
488,90037,2025-11-02,2025-11-27,0,9,PLANSEG,2026-02-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,4,PENDIENTE
489,90037,2025-11-02,2025-11-27,0,10,PLANCAP,2026-03-02,0.0000,82875.30,0.00,0.00,0.00,0.00,admin25+,5,PENDIENTE
490,90037,2025-11-02,2025-11-27,0,11,PLANINT,2026-03-02,0.0000,4231.06,0.00,0.00,0.00,0.00,admin25+,5,PENDIENTE
491,90037,2025-11-02,2025-11-27,0,12,PLANSEG,2026-03-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,5,PENDIENTE
492,90037,2025-11-02,2025-11-27,0,13,PLANCAP,2026-04-02,0.0000,83565.93,0.00,0.00,0.00,0.00,admin25+,6,PENDIENTE
493,90037,2025-11-02,2025-11-27,0,14,PLANINT,2026-04-02,0.0000,3540.43,0.00,0.00,0.00,0.00,admin25+,6,PENDIENTE
494,90037,2025-11-02,2025-11-27,0,15,PLANSEG,2026-04-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,6,PENDIENTE
495,90037,2025-11-02,2025-11-27,0,16,PLANCAP,2026-05-02,0.0000,84262.31,0.00,0.00,0.00,0.00,admin25+,7,PENDIENTE
496,90037,2025-11-02,2025-11-27,0,17,PLANINT,2026-05-02,0.0000,2844.05,0.00,0.00,0.00,0.00,admin25+,7,PENDIENTE
497,90037,2025-11-02,2025-11-27,0,18,PLANSEG,2026-05-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,7,PENDIENTE
498,90037,2025-11-02,2025-11-27,0,19,PLANCAP,2026-06-02,0.0000,84964.50,0.00,0.00,0.00,0.00,admin25+,8,PENDIENTE
499,90037,2025-11-02,2025-11-27,0,20,PLANINT,2026-06-02,0.0000,2141.86,0.00,0.00,0.00,0.00,admin25+,8,PENDIENTE
500,90037,2025-11-02,2025-11-27,0,21,PLANSEG,2026-06-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,8,PENDIENTE
501,90037,2025-11-02,2025-11-27,0,22,PLANCAP,2026-07-02,0.0000,85672.54,0.00,0.00,0.00,0.00,admin25+,9,PENDIENTE
502,90037,2025-11-02,2025-11-27,0,23,PLANINT,2026-07-02,0.0000,1433.82,0.00,0.00,0.00,0.00,admin25+,9,PENDIENTE
503,90037,2025-11-02,2025-11-27,0,24,PLANSEG,2026-07-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,9,PENDIENTE
504,90037,2025-11-02,2025-11-27,0,25,PLANCAP,2026-08-02,0.0000,86386.44,0.00,0.00,0.00,0.00,admin25+,10,PENDIENTE
505,90037,2025-11-02,2025-11-27,0,26,PLANINT,2026-08-02,0.0000,719.92,0.00,0.00,0.00,0.00,admin25+,10,PENDIENTE
506,90037,2025-11-02,2025-11-27,0,27,PLANSEG,2026-08-02,0.0000,37613.00,0.00,0.00,0.00,0.00,admin25+,10,PENDIENTE
